Statistical profiling result from isolate-0x4f9f120-72-v8.log, (28439 ticks, 46 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     11    4.3%        LazyCompile: ~find_max_campaign /usr/src/app/server.js:25:27
     11  100.0%          LazyCompile: ~<anonymous> /usr/src/app/server.js:76:17
     10   90.9%            LazyCompile: *dispatch /usr/src/app/node_modules/express/lib/router/route.js:98:45
      1    9.1%            LazyCompile: *handle /usr/src/app/node_modules/express/lib/router/layer.js:86:49
    219    1.1%    LazyCompile: *parserOnHeadersComplete _http_common.js:75:33
    213    1.0%    LazyCompile: *<anonymous> /usr/src/app/server.js:76:17
    212   99.5%      LazyCompile: *dispatch /usr/src/app/node_modules/express/lib/router/route.js:98:45
    212  100.0%        LazyCompile: *handle /usr/src/app/node_modules/express/lib/router/layer.js:86:49
    212  100.0%          LazyCompile: *next /usr/src/app/node_modules/express/lib/router/index.js:176:16
    212  100.0%            LazyCompile: *expressInit /usr/src/app/node_modules/express/lib/middleware/init.js:29:30
    210    1.0%    LazyCompile: *resOnFinish _http_server.js:756:21
    206   98.1%      LazyCompile: *onFinish _http_outgoing.js:764:18
    202   98.1%        LazyCompile: *afterWriteTick internal/streams/writable.js:451:24
    202  100.0%          LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
      4    1.9%      LazyCompile: *emit events.js:264:44
      4  100.0%        LazyCompile: ~onFinish _http_outgoing.js:764:18
      4  100.0%          LazyCompile: ~afterWrite internal/streams/writable.js:456:20
      4  100.0%            LazyCompile: ~afterWriteTick internal/streams/writable.js:451:24
    206    1.0%    LazyCompile: *writeHead _http_server.js:250:19
    203   98.5%      LazyCompile: *end _http_outgoing.js:769:45
    203  100.0%        LazyCompile: *send /usr/src/app/node_modules/express/lib/response.js:107:25
    190   93.6%          LazyCompile: *<anonymous> /usr/src/app/server.js:76:17
    190  100.0%            LazyCompile: *dispatch /usr/src/app/node_modules/express/lib/router/route.js:98:45
     13    6.4%          LazyCompile: ~find_max_campaign /usr/src/app/server.js:25:27
     13  100.0%            LazyCompile: ~<anonymous> /usr/src/app/server.js:76:17
      3    1.5%      LazyCompile: ~_implicitHeader _http_server.js:245:68
      3  100.0%        LazyCompile: ~write_ _http_outgoing.js:678:16
      3  100.0%          LazyCompile: *end _http_outgoing.js:769:45
      3  100.0%            LazyCompile: *send /usr/src/app/node_modules/express/lib/response.js:107:25

   3506   12.3%  /lib/x86_64-linux-gnu/libpthread-2.24.so
   2686   76.6%    LazyCompile: *clearBuffer internal/streams/writable.js:493:21
   2679   99.7%      LazyCompile: *end _http_outgoing.js:769:45
   2674   99.8%        LazyCompile: *send /usr/src/app/node_modules/express/lib/response.js:107:25
   2553   95.5%          LazyCompile: *<anonymous> /usr/src/app/server.js:76:17
   2550   99.9%            LazyCompile: *dispatch /usr/src/app/node_modules/express/lib/router/route.js:98:45
    121    4.5%          LazyCompile: ~find_max_campaign /usr/src/app/server.js:25:27
    121  100.0%            LazyCompile: ~<anonymous> /usr/src/app/server.js:76:17

    392    1.4%  /lib/x86_64-linux-gnu/libc-2.24.so
    216   55.1%    /usr/local/bin/node
    174   80.6%      LazyCompile: *parseQueryStringValues /usr/src/app/node_modules/qs/lib/parse.js:41:50
    173   99.4%        LazyCompile: *module.exports /usr/src/app/node_modules/qs/lib/parse.js:222:27
    172   99.4%          LazyCompile: *query /usr/src/app/node_modules/express/lib/middleware/query.js:39:24
    172  100.0%            LazyCompile: *handle /usr/src/app/node_modules/express/lib/router/layer.js:86:49
     14    6.5%      LazyCompile: *send /usr/src/app/node_modules/express/lib/response.js:107:25
     14  100.0%        LazyCompile: *<anonymous> /usr/src/app/server.js:76:17
     14  100.0%          LazyCompile: *dispatch /usr/src/app/node_modules/express/lib/router/route.js:98:45
     14  100.0%            LazyCompile: *handle /usr/src/app/node_modules/express/lib/router/layer.js:86:49
      8    3.7%      LazyCompile: *header /usr/src/app/node_modules/express/lib/response.js:754:29
      6   75.0%        LazyCompile: ~json /usr/src/app/node_modules/express/lib/response.js:239:25
      6  100.0%          LazyCompile: *<anonymous> /usr/src/app/server.js:76:17
      6  100.0%            LazyCompile: *dispatch /usr/src/app/node_modules/express/lib/router/route.js:98:45
      2   25.0%        LazyCompile: *send /usr/src/app/node_modules/express/lib/response.js:107:25
      2  100.0%          LazyCompile: ~json /usr/src/app/node_modules/express/lib/response.js:239:25
      2  100.0%            LazyCompile: *<anonymous> /usr/src/app/server.js:76:17
      3    1.4%      LazyCompile: *setHeader _http_outgoing.js:556:57
      3  100.0%        LazyCompile: ~header /usr/src/app/node_modules/express/lib/response.js:754:29
      3  100.0%          LazyCompile: ~json /usr/src/app/node_modules/express/lib/response.js:239:25
      3  100.0%            LazyCompile: *<anonymous> /usr/src/app/server.js:76:17
      3    1.4%      LazyCompile: *expressInit /usr/src/app/node_modules/express/lib/middleware/init.js:29:30
      3  100.0%        LazyCompile: *handle /usr/src/app/node_modules/express/lib/router/layer.js:86:49
      3  100.0%          LazyCompile: *next /usr/src/app/node_modules/express/lib/router/index.js:176:16
      3  100.0%            LazyCompile: *query /usr/src/app/node_modules/express/lib/middleware/query.js:39:24
     34    8.7%    LazyCompile: *clearBuffer internal/streams/writable.js:493:21
     34  100.0%      LazyCompile: *end _http_outgoing.js:769:45
     34  100.0%        LazyCompile: *send /usr/src/app/node_modules/express/lib/response.js:107:25
     32   94.1%          LazyCompile: *<anonymous> /usr/src/app/server.js:76:17
     32  100.0%            LazyCompile: *dispatch /usr/src/app/node_modules/express/lib/router/route.js:98:45
      2    5.9%          LazyCompile: ~find_max_campaign /usr/src/app/server.js:25:27
      2  100.0%            LazyCompile: ~<anonymous> /usr/src/app/server.js:76:17

